track_id,tsne-one,tsne-two,tsne-three
2e3oSed7fWKJ63VCxtMAAH,1.9875748,-2.689555,3.5588853
7BbJw7SeLDxB9ywy6EZjA2,-5.6743174,2.6222343,-6.5997715
1B4gJRq61xTs6r1O0Uq2iY,2.7772121,-4.1691017,-4.396627
5gub2bpJRgJP4m4MliqtdV,1.4229974,1.2668589,10.051218
27P4XoNXXEV4lTc3sB61RK,1.1431984,1.9891934,9.699678
48t1aADyfDbDA3TzxqQHrN,-5.7936687,-2.8500233,-0.028379181
5274I4mUMnYczyeXkGDWZN,-1.8713822,-7.0011997,-0.3616903
5ExHDzOoOhC4xZGPh9zyQZ,5.364686,-5.3687015,4.5336256
75lcPkAkUsKWHGBlGM476R,4.095033,-2.4558234,-2.2498398
1fvCggAYrW0VtCljtqv4h2,5.885366,5.491699,-1.330316
22ykS8KWpd2r4zcRZ0XMK5,6.3558745,-4.9839096,2.792611
1fewSx2d5KIZ04wsooEBOz,7.372673,0.030831128,-0.74285
0JRn9gyDQeW9VjW4S126tT,0.36038837,1.1085567,10.119909
5eq8CDTzJIOq0aMtwbp5Gn,0.90521866,-4.653212,-5.599466
2TxIZb5ZKd8Rb10q62n4Fq,3.7185822,-3.551871,-6.1770296
4mt4VMndCT5kP2GwXKcECc,-7.654911,1.1147591,-1.3642731
4qKcDkK6siZ7Jp1Jb4m0aL,2.7854726,-4.086006,-4.2687907
26URbmR1pY1Fy5ZYdH2bi3,-8.1436205,5.49764,1.5767709
0tMhVRGuPn1rmn3kzVIPLk,-7.9331203,5.5881968,1.5920951
6bMIExEulvwM2X6zsuiYwr,-8.013628,5.5752363,1.6415213
6kl1qtQXQsFiIWRBK24Cfp,-0.06359626,0.68588924,1.7013615
6xhblLundMJAiG9jF7nlxs,-6.759513,0.55142343,-2.7979622
6n4U3TlzUGhdSFbUUhTvLP,-7.4185987,1.2108345,0.25484234
1XRgIKC5TPwo7nWGyKqgG0,-5.007314,-1.2252673,1.602456
04iHyjuODvU57m4c5MdFv5,2.7080147,-2.9815447,3.709954
3V8sM5OOG6YfDuDLa2IIYJ,-5.1684165,-5.0300775,-3.087179
4r4PJQBHAE0bIKCjunhTgd,1.7205273,3.92068,9.82853
2IRZnDFmlqMuOrYOLnZZyc,7.2865744,1.3897116,-0.70951545
6SAKXCj5jyF6IgPCPbZ5ra,-4.009946,2.0130892,8.920021
4Y7zwyG1XrwRYXsBqUtQGp,-4.5555906,1.1502768,-2.990755
2jJqx7SPGBonJGSHMejEXP,-1.0874069,0.23963201,10.628405
7g7raxdQpiLZT7aOlib4S1,-5.077041,-1.4589695,1.4867715
17AS0y6FnHdYImAPUydAJg,2.914322,-3.1284487,4.5229325
1lVohKoFNWaPL6EzznHbvn,-1.831827,5.207694,7.773069
6emZxtfjGssHVoUvo0qhhS,-5.6068673,2.3874567,-6.7969575
2Zy7XVdxyZQB8xp5xbpJdl,-4.9475403,7.0932355,-6.238981
4EDmwV0cTLJ31s9sLQ1x2p,7.3713336,-3.0173883,5.4860787
6uSSupG4TMu3vW8QgynAB6,-6.941351,-3.7360861,-2.180337
7yF0ULfXKAxBL04iMSHUxs,3.4375436,-5.2715034,-1.7134508
25rc1PFgPvtV6GFSloyOI0,-8.288499,1.4796981,1.3079892
7xVLFuuYdAvcTfcP3IG3dS,-7.12425,1.4283818,0.84630674
4vZholApktjICOlbFVhls9,-6.779544,-0.13308907,-3.4173613
0AluA5RNsa4Cx6XRhf2hWZ,6.059478,-3.5334518,2.3550386
156LzfvMNKuXuiot4uzhGD,3.5385337,-1.7459875,3.45648
1ek6hIy0bOJ92bDTuF4zwl,7.0231667,1.2687191,-1.0218662
6MWtB6iiXyIwun0YzU6DFP,0.7835013,1.5113224,9.931966
1BuZAIO8WZpavWVbbq3Lci,-7.750028,1.4615752,-0.65505123
5gQcxYXqnofyocKgEbGYKt,6.0649943,3.0855598,-0.31070393
2UVbBKQOdFAekPTRsnkzcf,-5.831669,-2.9368672,-0.09256885
1ZAyjvIk9YiD76yYy0TEG6,3.9622188,-0.9468249,2.971245
2ANLarE8yHVsLWW21nj79M,9.416282,0.19409016,2.507947
2eAZfqOm4EnOF9VvN50Tyc,-2.9692261,5.523118,-3.1702843
2ZdCrBA52bb4pIG3tOOZiQ,-4.70622,-1.0858473,1.8881991
0uxSUdBrJy9Un0EYoBowng,-2.954899,3.2809846,-3.4830432
3DoBTwfr8yi2LN08SBpFkN,3.440461,5.9945107,0.80697954
7GX5flRQZVHRAGd6B4TmDO,-5.2422614,-5.2313094,-1.2376397
0RyWaVjR8Mi4Qx9J3IiiqF,-5.718872,1.4744701,-2.804576
55Q46o5adtSobImSKrrlqW,-5.59913,1.6364768,-0.6362188
1MNdfH2KC5LdEde3JPJ513,3.7882166,-2.199877,0.973006
69M9QCMsCQ5MLsw7BBW0rL,1.7827414,-1.718316,5.427136
3aJ66zarLOVW4o2nPDxg0g,1.3569783,-2.2995124,5.683682
1gGsNNUfvVMOv4llVMg8Vg,9.454234,-2.4097984,1.7899275
